# norb: 3 spin index NOT included 
# chemsit's convention: v[i,j,k,l] c_i^\dag c_k^\dag c_l c_j
 0  0  0  0     5.914285714
 0  0  1  1     4.679609280
 0  0  2  2     4.679609280
 0  1  0  1     0.617338217
 0  1  1  0     0.617338217
 0  2  0  2     0.617338217
 0  2  2  0     0.617338217
 1  0  0  1     0.617338217
 1  0  1  0     0.617338217
 1  1  0  0     4.679609280
 1  1  1  1     5.914285714
 1  1  2  2     4.679609280
 1  2  1  2     0.617338217
 1  2  2  1     0.617338217
 2  0  0  2     0.617338217
 2  0  2  0     0.617338217
 2  1  1  2     0.617338217
 2  1  2  1     0.617338217
 2  2  0  0     4.679609280
 2  2  1  1     4.679609280
 2  2  2  2     5.914285714
